"id_lab","site_id","sheet_name_unbc","lab_group","sp_code1","sp_code2","sp_code3","sp_code4","site_pattern"
"m41363","198692_ds_ed2","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41364","198692_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41365","203597_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41366","203597_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41367","203597_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41368","203605_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41369","203605_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41370","24718557_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41371","57690_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41372","57690_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41373","57695_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"s60274","8547_us_ed1","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
"s60275","bulkley_falls_ds_ed1","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
"s60276","bulkley_falls_ds_ed2","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
"s60377","8547_ds_ed2","BTDV CO RB SK",3,"DV","CO","RB","SK","vic_vic_vic_vic"
"s60678","197962_ds_ed","CH CO RB SK",6,"CH","CO","RB","SK","vic_vic_vic_vic"
"s50879","197960_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_NA"
"s60880","197962_us_ed","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"s60881","8547_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"s61182","197360_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61183","197378 ds_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61184","197378_Us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61185","197378_ds_ed1b","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61186","197379_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61187","58067_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61188","8525_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61189","8525_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61190","8525_us_ed2","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61191","8530_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61192","8530_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s31493","197379_us_ed1","BT CO RB",14,"BT","CO","RB",NA,"vic_vic_vic"
